TimeSeconds,MissionState,WaypointIndex,PositionXMetres,PositionYMetres,PositionZMetres,GroundVelocityXMetresPerSecond,GroundVelocityYMetresPerSecond,GroundVelocityZMetresPerSecond,GroundSpeedMetresPerSecond,AirVelocityXMetresPerSecond,AirVelocityYMetresPerSecond,AirVelocityZMetresPerSecond,AirSpeedMetresPerSecond,YawDegrees,PitchDegrees,RollDegrees,TargetDistanceMetres,DistanceTravelledMetres,WindXMetresPerSecond,WindYMetresPerSecond,WindZMetresPerSecond,WindSpeedMetresPerSecond,BirdActive,BirdPositionXMetres,BirdPositionYMetres,BirdPositionZMetres,BirdDistanceMetres,BirdClearanceMetres,BirdLidarHits,APFAvoidanceActive,APFEmergencyActive,APFObstacleCount,RepulsiveSpeedMetresPerSecond,TangentialSpeedMetresPerSecond,MapCoveragePercent,MapFreeCells,MapOccupiedCells,MapUpdateCount,FPVTargetVisible,FPVBirdVisible,FPVForwardObstacleDistanceMetres
30.2000000000003,LANDING_DESCENT,7,28.0391871240336,0.139360899279788,1.5139490243333,-0.0178274193509312,0.0155033665071944,-0.401167174450375,0.401862256389261,-0.144265460239276,-0.546505824351649,-0.429787243651703,0.710069161331524,-0.00312353549465652,-0.0577760099493571,-1.02153257841327,0.826722507950056,33.1315443597995,0.126438040888345,0.562009190858844,0.028620069201328,0.576766865513774,0,12.5,5,4,16.4703551387575,NaN,0,0,0,0,0,0,92.6736111111111,5210,128,191,0,0,NaN
30.3000000000003,LANDING_DESCENT,7,28.0372959818368,0.136801138730934,1.47409270716626,-0.0208067388670786,-0.0348992902450609,-0.397854541736338,0.399923889286603,-0.142900793478545,-0.550972463252343,-0.434715929655872,0.716218703704197,-0.0025865997431219,-0.131730258970206,-0.139111004856226,0.786972084071121,33.1715388714694,0.122094054611466,0.516073173007282,0.0368613879195346,0.531598758452863,0,12.5,5,4,16.4753900482945,NaN,0,0,0,0,0,0,92.6736111111111,5210,128,192,0,0,NaN
30.4000000000003,LANDING_DESCENT,7,28.0350101318205,0.13023358676287,1.43434903275046,-0.0255141844279232,-0.077650635605722,-0.397781176064677,0.406091687736147,-0.140200853671546,-0.544729091204103,-0.439753782921168,0.713981408558904,-0.00214196324728769,-0.236953158270812,0.6504798629794,0.746629090213305,33.2119042504306,0.114686669243623,0.467078455598381,0.0419726068564913,0.482780504486972,0,12.5,5,4,16.4813145592518,NaN,0,0,0,0,0,0,92.6736111111111,5210,128,192,0,0,NaN
30.5000000000003,LANDING_DESCENT,7,28.0319332025852,0.119218853256563,1.39445750918812,-0.032512224037439,-0.117684831998997,-0.399503260162731,0.417743485018191,-0.135130075805957,-0.526173692553886,-0.444260354516163,0.701773577956552,-0.00177375976506332,-0.38615238871386,1.43159904148108,0.70533970288573,33.2534091279716,0.102617851768518,0.408488860554889,0.0447570943534316,0.423552558951046,0,12.5,5,4,16.4879296845723,NaN,0,0,0,0,0,0,92.65625,5209,128,193,0,0,NaN
30.6000000000003,LANDING_DESCENT,7,28.0285453768144,0.104952357306038,1.35430330311029,-0.0336655892810484,-0.149555138301207,-0.402033174291662,0.430268270413893,-0.128801383020689,-0.497793866797295,-0.447972645485455,0.681958958583493,-0.0014688504614452,-0.440235736190777,2.1023530565389,0.663281726193787,33.2961615883532,0.0951357937396405,0.348238728496088,0.0459394711937926,0.363911343995497,0,12.5,5,4,16.4953606797778,NaN,0,0,0,0,0,0,92.65625,5210,127,194,0,0,NaN
30.7000000000003,LANDING_DESCENT,7,28.0247503626063,0.0882941556500698,1.31415184775978,-0.0393192522183999,-0.172941720695067,-0.401126488824756,0.438585570201371,-0.120962045304349,-0.461392431704496,-0.451569431187346,0.65683311702537,-0.00121635506712404,-0.571238466177684,2.6490269798368,0.62095968506647,33.339801179839,0.0816427930859494,0.288450711009429,0.0504429423625904,0.303996461786837,0,12.5,5,4,16.5032272122624,NaN,0,0,0,0,0,0,92.65625,5210,127,194,0,0,NaN
30.8000000000003,LANDING_DESCENT,7,28.0204267459896,0.0690076108344361,1.27398529009839,-0.0442928466841075,-0.196972569421882,-0.401383746290932,0.449298298637535,-0.111267472254412,-0.416139912178814,-0.455008760350046,0.626566715430498,-0.00100726363107556,-0.694400498819957,3.22422283954607,0.578479399420702,33.3845691513396,0.066974625570305,0.219167342756932,0.0536250140591135,0.235362628159734,0,12.5,5,4,16.511495647525,NaN,0,0,0,0,0,0,92.6736111111111,5209,129,195,0,0,NaN
30.9000000000003,LANDING_DESCENT,7,28.0157463921963,0.0480443665554783,1.23356719919038,-0.0484328311630313,-0.207926883386288,-0.405170062043275,0.45797609888001,-0.10010237349394,-0.36415442879016,-0.457713958518767,0.593406269776051,-0.000834115012892809,-0.805555432446698,3.59182964145466,0.535957242769222,33.4303408690712,0.051669542330909,0.156227545403872,0.0525438964754918,0.172735776851328,0,12.5,5,4,16.5200908334049,NaN,0,0,0,0,0,0,92.6736111111111,5209,129,196,0,0,NaN
31.0000000000003,LANDING_DESCENT,7,28.0109236126507,0.027255236112674,1.193152997796,-0.0478293943406097,-0.209671283122887,-0.404045633423588,0.457714509075314,-0.0879696805962164,-0.3099743358343,-0.460340533406893,0.561904048995429,-0.00069073064216691,-0.838022809247284,3.79927101074853,0.494026368166806,33.4760440804266,0.0401402862556067,0.100303052711412,0.0562948999833046,0.121823892270936,0,12.5,5,4,16.5286215970369,NaN,0,0,0,0,0,0,92.6736111111111,5209,129,196,0,0,NaN
31.1000000000003,LANDING_DESCENT,7,28.0059062802388,0.00738253497867139,1.15296919230674,-0.0481979126548014,-0.191457851595561,-0.401497238242531,0.447413880024131,-0.0747429033988202,-0.255528020842474,-0.463444545991308,0.534473496305707,-0.000571994044777438,-0.886863618698763,3.66227487659243,0.453067848283222,33.5211580018724,0.0265449907440187,0.0640701692469136,0.0619473077487771,0.0929897416828861,0,12.5,5,4,16.5367754759971,NaN,0,0,0,0,0,0,92.65625,5209,128,197,0,0,NaN
